id,text,is_quote_status,favorite_count,retweet_count,is_transatable,lang,view_count,replies,reply_count,state,possibly_sensitive,created_at,quote_count,favorited,user
1710717434452177117,"Quds never forget you ♥️🥺
#SupportGaza https://t.co/hAucjb3yUY",False,32,7,False,en,1635,,5,EnabledWithCount,False,Sat Oct 07 18:03:14 +0000 2023,0,False,"<User id=""1588850142945255424"">"
id,text,is_quote_status,favorite_count,retweet_count,is_transatable,lang,view_count,replies,reply_count,state,possibly_sensitive,created_at,quote_count,favorited,user
1776745188532072451,BREAKING| Israeli strikes on Beqaa and Baalbek deep inside Lebanon. https://t.co/5a0wE9H7Lg,False,245,226,False,en,14959,,11,EnabledWithCount,False,Sat Apr 06 22:53:57 +0000 2024,21,False,"<User id=""524869533"">"
1776693066918715483,"The Day of Quds held on the 6th April 2024 in Sandton ,South Africa.

Unapologetic support for the axis of resistance. Victory is certain! https://t.co/T3IXKUB8Md",False,584,150,False,en,15395,,10,EnabledWithCount,False,Sat Apr 06 19:26:51 +0000 2024,16,False,"<User id=""1106189977862529026"">"
1773696622918009119,"Watanabe Ken became a household name in Japan playing the warlord Date Masamune in one of the best-remembered taiga drama series, which also featured Shōgun star Sanada Hiroyuki in a support role.
https://t.co/RV7AvnFpRq",False,813,56,False,en,756415,,22,EnabledWithCount,False,Fri Mar 29 13:00:03 +0000 2024,6,False,"<User id=""352160450"">"
1776707248024178732,"Happening Now: Hundreds have gathered on Al Quds Day to protest. Reminder to all attendees not to interact with any police. Even when they disrespect us, we will remain steadfast and remember why we are here. https://t.co/1knwhpRBi8",False,364,116,False,en,7909,,96,EnabledWithCount,False,Sat Apr 06 20:23:12 +0000 2024,5,False,"<User id=""1717618751019847680"">"
1776642486946951316,A Palestinian writes the names of his family members still trapped under the rubble of his home in Gaza. https://t.co/Tb6Jr7KFnP,False,4131,2989,False,en,113158,,60,EnabledWithCount,False,Sat Apr 06 16:05:51 +0000 2024,84,False,"<User id=""524869533"">"
1776713707243888909,"We are with Hamas &amp; Palestine. We are with Hezbollah &amp; AnsarAllah. We are with Iranian Mujahideen &amp; Quds Force. Whoever is in confrontation with America &amp; Israel, we are with them.

Sayyid Jawad Naqvi (h)
Quds Day speech https://t.co/3Hx6DMqAj5",False,368,69,False,en,11235,,0,EnabledWithCount,False,Sat Apr 06 20:48:52 +0000 2024,4,False,"<User id=""1496921395565105156"">"
1776169971174797370,"Thousands holds Quds Rally in Kargil (Kashmir)
#QudsDay2024 https://t.co/OBBXJW75qN",False,759,102,False,en,8043,,8,EnabledWithCount,False,Fri Apr 05 08:48:15 +0000 2024,7,False,"<User id=""230377305"">"
1760542420670853214,"Stop wasting time reading 60 page documents. 

This AI tool is like ChatGPT for students. 

Just upload any PDF and ask a question. It will give you an answer with page citations in seconds. 

Get started in 60 seconds:",False,2249,344,False,en,17898210,,0,EnabledWithCount,,Thu Feb 22 05:49:57 +0000 2024,15,False,"<User id=""1726790411585277952"">"
1776762743749525716,"Our slogans are representative of our ideology 

(Quds day Lahore 🇵🇰) https://t.co/LabDhGQtIG",False,11,4,False,en,114,,0,EnabledWithCount,False,Sun Apr 07 00:03:43 +0000 2024,0,False,"<User id=""1496921395565105156"">"
1776535849686945844,All of these family members have suffered burns as a result of being bombed with U.S.-manufactured bombs in Gaza. https://t.co/r2yeA6Kaex,False,12593,10342,False,en,622588,,361,EnabledWithCount,False,Sat Apr 06 09:02:07 +0000 2024,337,False,"<User id=""524869533"">"
1776675495175672255,Palestinians flood al-Aqsa Mosque despite the Israeli occupation restrictions in the occupied city of Jerusalem. https://t.co/wYhJkGIfcO,False,382,153,False,en,11777,,9,EnabledWithCount,False,Sat Apr 06 18:17:01 +0000 2024,6,False,"<User id=""524869533"">"
1776633462968979815,Palestine supporters rallied in Times Square to mark Al Quds Day. https://t.co/P1REFMqvJZ,False,51,28,False,en,1455,,0,EnabledWithCount,False,Sat Apr 06 15:30:00 +0000 2024,1,False,"<User id=""325480259"">"
1776731980559774148,"BREAKING| UK's Prime Minister Rishi Sunak: Britain is shocked by the bloodshed in Gaza and calls for an end to this terrible war. 

The children of Gaza are in urgent need of an immediate humanitarian ceasefire leading to a long-term cessation of hostilities. https://t.co/alXMLAIHX7",False,768,274,False,en,75053,,314,EnabledWithCount,False,Sat Apr 06 22:01:28 +0000 2024,217,False,"<User id=""524869533"">"
1776493996526690425,UNICEF spokesman James Elder says what children in Gaza are enduring these days is the worst of what he has seen in 20 years of his work. https://t.co/HWkmYUwZXY,False,9397,7684,False,en,147234,,210,EnabledWithCount,False,Sat Apr 06 06:15:49 +0000 2024,155,False,"<User id=""524869533"">"
1776521149448409566,"Despite the Israeli aggression, Palestinian children insist on going to the beach in Deir el-Balah to enjoy their time. https://t.co/iTQfRSTVhh",False,1781,492,False,en,34486,,12,EnabledWithCount,False,Sat Apr 06 08:03:42 +0000 2024,18,False,"<User id=""524869533"">"
1776702332815749231,"Thousands have marched the streets of Uppsala city in Sweden, expressing their full support of Palestine and criticizing the Israeli genocide in Gaza. https://t.co/mUfY3n8mi5",False,282,129,False,en,8869,,6,EnabledWithCount,False,Sat Apr 06 20:03:40 +0000 2024,3,False,"<User id=""524869533"">"
1776688663314714957,"According to the War Media of the resistance in Gaza, fighters ambushed Israeli occupation forces in the az-Zanna neighborhood, east of Khan Younis, targeting Israeli tanks and killing 6 Israeli soldiers.

The ambush also targeted Israeli special units that rushed to rescue the… https://t.co/pFE1FffDVT",False,1447,465,False,en,33501,,79,EnabledWithCount,False,Sat Apr 06 19:09:21 +0000 2024,33,False,"<User id=""524869533"">"
1776613511650586856,"An Israeli occupation soldier posted a picture of himself in Gaza holding a young girls sock on his Instagram and wrote in Hebrew which translates to:
""Old hobbies: sports and writing, new hobbies: sniffing a 5-year-old girl's sock twice a day for four months."" https://t.co/NejSydGwjw",False,12212,7488,False,en,1484366,,898,EnabledWithCount,False,Sat Apr 06 14:10:43 +0000 2024,1820,False,"<User id=""524869533"">"
1776694789955608592,Watch | An Israeli car rammed into tens of Israeli protesters who were protesting against the Israeli government and demanding an immediate exchange deal with the resistance in Gaza. https://t.co/14wmdU8XC0,False,578,369,False,en,30193,,37,EnabledWithCount,False,Sat Apr 06 19:33:41 +0000 2024,29,False,"<User id=""524869533"">"
1776414706942570558,"JEWISH RABBI ARRESTED IN LONDON AT AL-QUDS DAY MARCH

Police arrested an Ultra Orthodox Jewish Rabbi at today's Al Quds Day march for burning the Israeli flag.

Jews in Britain can't even condemn the hijacking of their religion by a terrorist ideology. 

He wouldn't have been… https://t.co/u8xsVUygUQ",False,22582,10453,False,en,733343,,447,EnabledWithCount,False,Sat Apr 06 01:00:44 +0000 2024,287,False,"<User id=""848279118"">"
1776749866682552629,"BREAKING| Israeli warplanes bombard a house in Al Jeneinah neighbourhood in eastern Rafah, Gaza. https://t.co/NCAmpTsOtS",False,204,157,False,en,7799,,9,EnabledWithCount,False,Sat Apr 06 23:12:33 +0000 2024,6,False,"<User id=""524869533"">"
